beginDate,stage,price
2008-10-26,Paddy,470.0
2008-11-02,Paddy,438.75
2008-11-09,Paddy,438.75
2008-11-16,Paddy,420.5
2008-11-23,Paddy,420.5
2008-11-30,Paddy,420.5
2008-12-07,Paddy,420.5
2008-12-14,Paddy,408.75
2008-12-21,Paddy,421.25
2008-12-28,Paddy,421.25
2009-01-04,Paddy,421.25
2009-01-11,Paddy,421.25
2009-01-18,Paddy,435.0
2009-01-25,Paddy,458.75
2009-02-01,Paddy,471.25
2009-02-08,Paddy,471.25
2009-02-15,Paddy,473.75
2009-02-22,Paddy,483.75
2009-03-01,Paddy,483.75
2009-03-08,Paddy,481.25
2009-03-15,Paddy,481.25
2009-03-22,Paddy,481.25
2009-03-29,Paddy,473.75
2009-04-05,Paddy,460.0
2009-04-12,Paddy,450.0
2009-04-19,Paddy,450.0
2009-04-26,Paddy,450.0
2009-05-03,Paddy,450.0
2009-05-10,Paddy,442.5
2009-05-17,Paddy,442.5
2009-05-24,Paddy,438.75
2009-05-31,Paddy,428.75
2009-06-07,Paddy,428.75
2009-06-14,Paddy,415.0
2009-06-21,Paddy,363.3333333333333
2009-06-28,Paddy,350.0
2009-07-05,Paddy,330.0
2009-07-12,Paddy,330.0
2009-07-19,Paddy,338.3333333333333
2009-07-26,Paddy,340.0
2009-08-02,Paddy,340.0
2009-08-09,Paddy,340.0
2009-08-16,Paddy,340.0
2009-08-23,Paddy,340.0
2009-08-30,Paddy,312.5
2009-09-06,,
2009-09-13,,
2009-09-20,,
2009-09-27,,
2009-10-04,Paddy,271.6666666666667
2009-10-11,Paddy,290.0
2009-10-18,Paddy,290.0
2009-10-25,Paddy,310.0
2009-11-01,Paddy,310.0
2009-11-08,Paddy,310.0
2009-11-15,Paddy,310.0
2009-11-22,Paddy,310.0
2009-11-29,Paddy,310.0
2009-12-06,Paddy,305.0
2009-12-13,,
2009-12-20,Paddy,305.0
2009-12-27,Paddy,305.0
2010-01-03,Paddy,305.0
2010-01-10,Paddy,306.25
2010-01-17,Paddy,306.25
2010-01-24,Paddy,305.0
2010-01-31,Paddy,302.5
2010-02-07,Paddy,300.0
2010-02-14,Paddy,293.75
2010-02-21,Paddy,291.25
2010-02-28,Paddy,291.25
